BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3
true,116838,116838,116838,116838,true,78795,78795,78795,78795,true,63324,63324,63324,63324
true,188214,188214,188214,188214,true,128128,128128,128128,128128,true,128128,128128,128128,128128
true,239071,239071,239071,239071,true,187068,187068,187068,187068,true,187068,187068,187068,187068
true,265296,265296,265296,265296,true,236304,236304,236304,236304,true,236304,236304,236304,236304
true,116270,116270,116270,116270,true,95854,95854,95854,95854,true,95854,95854,95854,95854
true,186285,186285,186285,186285,true,106144,106144,106144,106144,true,106144,106144,106144,106144
true,254310,254310,254310,254310,true,146460,146460,146460,146460,true,146460,146460,146460,146460
true,146657,146657,146657,146657,true,146657,146657,146657,146657,true,146657,146657,146657,146657
true,78060,78060,78060,78060,true,76848,76848,76848,76848,true,76848,76848,76848,76848
true,163152,163152,163152,163152,true,103170,103170,103170,103170,true,68082,68082,68082,68082
true,106512,106512,106512,106512,true,67986,67986,67986,67986,true,67986,67986,67986,67986
true,53832,53832,53832,53832,true,39588,39588,39588,39588,true,39588,39588,39588,39588
true,303110,303110,303110,303110,true,177378,177378,177378,177378,true,151658,151658,151658,151658
true,285900,285900,285900,285900,true,236080,236080,236080,236080,true,236080,236080,236080,236080
true,155589,155589,155589,155589,true,106540,106540,107282,107282,true,94731,94731,94731,94731
true,107124,107124,107124,107124,true,87792,87792,87792,87792,true,87792,87792,87792,87792
true,174416,174416,174416,174416,true,107752,107752,118954,118954,true,89122,89122,89122,89122
true,64486,64486,64486,64486,true,40118,40118,50024,50024,true,40118,40118,40118,40118
true,480985,480985,480985,480985,true,314944,314944,314944,314944,true,235152,235152,235152,235152
true,106176,106176,106176,106176,true,94640,94640,94640,94640,true,94640,94640,94640,94640
true,145380,145380,145380,145380,true,137730,137730,137730,137730,true,137730,137730,137730,137730
true,337533,337533,337533,337533,true,232335,232335,253656,253656,true,211032,211032,211032,211032
true,382738,382738,382738,382738,true,285418,285418,285418,285418,true,285418,285418,285418,285418
true,176055,176055,176055,176055,true,98329,98329,98329,98329,true,98329,98329,98329,98329
true,186204,186204,186204,186204,true,128557,128557,128557,128557,true,128557,128557,128557,128557
true,83718,83718,83718,83718,true,83718,83718,83718,83718,true,83718,83718,83718,83718
true,269195,269195,269195,269195,true,177276,177276,177276,177276,true,177276,177276,177276,177276
true,116766,116766,116766,116766,true,100080,100080,100080,100080,true,100080,100080,100080,100080
true,305904,305904,305904,305904,true,212848,212848,212848,212848,true,212848,212848,212848,212848
true,199705,199705,199705,199705,true,110957,110957,110957,110957,true,110957,110957,110957,110957
true,369040,369040,369040,369040,true,344605,344605,344605,344605,true,344605,344605,344605,344605
true,568404,568404,568404,568404,true,337821,337821,349416,349416,true,302839,302839,302839,302839
true,300660,300660,300660,300660,true,241776,241776,241776,241776,true,213896,213896,213896,213896
true,135707,135707,135707,135707,true,107338,107338,107338,107338,true,107338,107338,107338,107338
true,504448,504448,504448,504448,true,306488,306488,306488,306488,true,306488,306488,306488,306488
true,258330,258330,258330,258330,true,188496,188496,188889,188889,true,161049,161049,161049,161049
true,128807,128807,128807,128807,true,110040,110040,110040,110040,true,110040,110040,110040,110040
true,423744,423744,423744,423744,true,296376,296376,296376,296376,true,296376,296376,296376,296376
true,129624,129624,129624,129624,true,72048,72048,72048,72048,true,72048,72048,72048,72048
true,63570,63570,63570,63570,true,63570,63570,63570,63570,true,63570,63570,63570,63570
true,180752,180752,180752,180752,true,152240,152240,152240,152240,true,152240,152240,152240,152240
true,160656,160656,160656,160656,true,120540,120540,120540,120540,true,120540,120540,120540,120540
