BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2
true,103113,103113,103113,103113,true,103113,103113,103113,103113
true,126451,126451,126451,126451,true,86853,86853,86853,86853
true,69632,69632,69632,69632,true,69632,69632,69632,69632
true,365840,365840,365840,365840,true,365840,365840,365840,365840
true,263511,263511,263511,263511,true,166421,166421,166421,166421
true,75324,75324,75324,75324,true,53136,53136,53136,53136
true,81240,81240,81240,81240,true,81240,81240,81240,81240
true,193369,193369,193369,193369,true,130372,130372,130372,130372
true,303930,303930,303930,303930,true,303930,303930,303930,303930
true,38528,38528,38528,38528,true,33180,33180,33180,33180
true,55016,55016,55016,55016,true,44952,44952,44952,44952
true,681026,681026,681026,681026,true,482076,482076,482076,482076
true,130653,130653,130653,130653,true,82071,82071,82071,82071
true,185212,185212,185212,185212,true,124678,124678,124678,124678
true,130848,130848,130848,130848,true,130848,130848,130848,130848
true,211815,211815,211815,211815,true,138300,138300,138300,138300
true,285705,285705,285705,285705,true,285705,285705,285705,285705
true,264702,264702,264702,264702,true,192444,192444,192444,192444
true,178983,178983,178983,178983,true,115500,115500,115500,115500
true,55980,55980,55980,55980,true,49614,49614,49614,49614
true,58770,58770,58770,58770,true,58770,58770,58770,58770
true,194385,194385,194385,194385,true,127590,127590,127590,127590
true,413166,413166,413166,413166,true,269932,269932,269932,269932
true,67180,67180,67180,67180,true,38755,38755,38755,38755
true,137796,137796,137796,137796,true,106512,106512,106512,106512
true,424288,424288,424288,424288,true,353664,353664,353664,353664
true,71855,71855,71855,71855,true,71855,71855,71855,71855
true,103350,103350,103350,103350,true,103350,103350,103350,103350
true,285384,285384,285384,285384,true,254956,254956,254956,254956
true,134520,134520,134520,134520,true,105480,105480,105480,105480
true,322300,322300,322300,322300,true,196880,196880,196880,196880
true,308049,308049,308049,308049,true,234402,234402,234402,234402
true,67554,67554,67554,67554,true,53529,53529,53529,53529
true,155227,155227,155227,155227,true,96678,96678,96678,96678
true,62110,62110,62110,62110,true,46380,46380,46380,46380
true,260199,260199,260199,260199,true,155043,155043,155043,155043
true,204015,204015,204015,204015,true,163425,163425,163425,163425
true,110544,110544,110544,110544,true,110544,110544,110544,110544
true,334818,334818,334818,334818,true,186903,186903,186903,186903
true,78098,78098,78098,78098,true,78098,78098,78098,78098
true,249831,249831,249831,249831,true,163818,163818,163818,163818
true,631838,631838,631838,631838,true,542115,542115,542115,542115
true,305133,305133,305133,305133,true,209466,209466,209466,209466
true,115528,115528,115528,115528,true,64544,64544,64544,64544
true,139247,139247,139247,139247,true,100188,100188,100188,100188
true,145772,145772,145772,145772,true,110275,110275,110275,110275
true,162828,162828,162828,162828,true,95892,95892,95892,95892
true,134201,134201,134201,134201,true,95376,95376,95376,95376
true,107190,107190,107190,107190,true,75402,75402,75402,75402
true,39875,39875,39875,39875,true,31108,31108,31108,31108
true,115800,115800,115800,115800,true,115800,115800,115800,115800
true,155936,155936,155936,155936,true,130975,130975,130975,130975
true,82368,82368,82368,82368,true,82368,82368,82368,82368
true,58800,58800,58800,58800,true,58800,58800,58800,58800
true,117768,117768,117768,117768,true,117768,117768,117768,117768
true,708444,708444,708444,708444,true,397881,397881,397881,397881
true,77770,77770,77770,77770,true,59958,59958,59958,59958
true,63360,63360,63360,63360,true,63360,63360,63360,63360
true,47892,47892,47892,47892,true,47892,47892,47892,47892
true,40344,40344,40344,40344,true,34722,34722,34722,34722
true,88368,88368,88368,88368,true,88368,88368,88368,88368
true,68400,68400,68400,68400,true,42728,42728,42728,42728
true,61655,61655,61655,61655,true,61655,61655,61655,61655
true,363863,363863,363863,363863,true,363863,363863,363863,363863
true,50808,50808,50808,50808,true,30592,30592,30592,30592
true,203200,203200,203200,203200,true,203200,203200,203200,203200
true,98088,98088,98088,98088,true,98088,98088,98088,98088
