BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5
true,298738,298738,298738,298738,true,167390,167390,205403,205403,true,148445,148445,148445,148445,true,148445,148445,148445,148445,true,148445,148445,148445,148445
true,150962,150962,150962,150962,true,101250,101250,104930,104930,true,101250,101250,101250,101250,true,101250,101250,101250,101250,true,101250,101250,101250,101250
true,230460,230460,230460,230460,true,133932,133932,144084,144084,true,133932,133932,133932,133932,true,133932,133932,133932,133932,true,133932,133932,133932,133932
true,231688,231688,231688,231688,true,197030,197030,197030,197030,true,197030,197030,197030,197030,true,197030,197030,197030,197030,true,197030,197030,197030,197030
true,113350,113350,113350,113350,true,91536,91536,101226,101226,true,91536,91536,91536,91536,true,91536,91536,91536,91536,true,91536,91536,91536,91536
true,371761,371761,371761,371761,true,239265,239265,239265,239265,true,178438,178873,178873,178873,true,174800,174800,174800,174800,true,174800,174800,174800,174800
true,413217,413217,413217,413217,true,333964,333964,351267,351267,true,333964,333964,333964,333964,true,333964,333964,333964,333964,true,333964,333964,333964,333964
true,157283,157283,157283,157283,true,85050,85050,85050,85050,true,85050,85050,85050,85050,true,85050,85050,85050,85050,true,85050,85050,85050,85050
true,123010,123010,123010,123010,true,84532,84532,84532,84532,true,84532,84532,84532,84532,true,84532,84532,84532,84532,true,84532,84532,84532,84532
true,270603,270603,270603,270603,true,199998,199998,199998,199998,true,175221,175221,175221,175221,true,175221,175221,175221,175221,true,175221,175221,175221,175221
true,177552,177552,177552,177552,true,103296,107560,121630,121630,true,76698,77998,81266,81266,true,76204,76204,76204,76204,true,76204,76204,76204,76204
true,535230,535230,535230,535230,true,309114,309114,318672,318672,true,306522,306522,306522,306522,true,306522,306522,306522,306522,true,306522,306522,306522,306522
true,172218,172218,172218,172218,true,131928,133590,133590,133590,true,100524,100524,100524,100524,true,100524,100524,100524,100524,true,100524,100524,100524,100524
true,656040,656040,656040,656040,true,356686,356686,356686,356686,true,303453,303453,356376,356376,true,303453,303453,303453,303453,true,303453,303453,303453,303453
true,443820,443820,443820,443820,true,311598,311598,311598,311598,true,280318,280318,280318,280318,true,280318,280318,280318,280318,true,280318,280318,280318,280318
true,307021,307021,307021,307021,true,201340,201340,201340,201340,true,201340,201340,201340,201340,true,201340,201340,201340,201340,true,201340,201340,201340,201340
true,306610,306610,306610,306610,true,166450,166450,166450,166450,true,144060,144060,157800,157800,true,144060,144060,144060,144060,true,144060,144060,144060,144060
true,155560,155560,155560,155560,true,124689,124689,131318,131318,true,120869,120869,124689,124689,true,120869,120869,120869,120869,true,120869,120869,120869,120869
true,216216,216216,216216,216216,true,136188,136188,144348,144348,true,115848,121019,121608,121608,true,111276,111276,111276,111276,true,111276,111276,111276,111276
true,229658,229658,229658,229658,true,140130,140130,140130,140130,true,140130,140130,140130,140130,true,140130,140130,140130,140130,true,140130,140130,140130,140130
true,327074,327074,327074,327074,true,215292,220033,220033,220033,true,173756,173756,173756,173756,true,173756,173756,173756,173756,true,173756,173756,173756,173756
true,742624,742624,742624,742624,true,489532,489532,539764,539764,true,417562,417562,417562,417562,true,403039,403039,403039,403039,true,403039,403039,403039,403039
true,245792,245792,245792,245792,true,155200,159120,166248,166248,true,130032,130032,146520,146520,true,107896,107896,121568,121568,true,107896,107896,107896,107896
true,166530,166530,166530,166530,true,89103,89103,89103,89103,true,89103,89103,89103,89103,true,89103,89103,89103,89103,true,89103,89103,89103,89103
true,298270,298270,298270,298270,true,192830,192830,220400,220400,true,169646,169646,192830,192830,true,169646,169646,169646,169646,true,169646,169646,169646,169646
true,342810,342810,342810,342810,true,200925,200925,200925,200925,true,173691,173691,173691,173691,true,173691,173691,173691,173691,true,173691,173691,173691,173691
true,407638,407638,407638,407638,true,221364,232309,232309,232309,true,183557,183557,183557,183557,true,183557,183557,183557,183557,true,183557,183557,183557,183557
true,178122,178122,178122,178122,true,129648,129648,129648,129648,true,129648,129648,129648,129648,true,129648,129648,129648,129648,true,129648,129648,129648,129648
true,263360,263360,263360,263360,true,226920,226920,226920,226920,true,210510,210510,210510,210510,true,203360,203360,203360,203360,true,203360,203360,203360,203360
true,236257,236257,236257,236257,true,123151,123151,123151,123151,true,123151,123151,123151,123151,true,123151,123151,123151,123151,true,123151,123151,123151,123151
true,157175,157175,157175,157175,true,96345,96345,96345,96345,true,96345,96345,96345,96345,true,96345,96345,96345,96345,true,96345,96345,96345,96345
true,622860,622860,622860,622860,true,370020,370020,370020,370020,true,370020,370020,370020,370020,true,370020,370020,370020,370020,true,370020,370020,370020,370020
true,170940,170940,170940,170940,true,100491,100491,100738,100738,true,86024,86024,86024,86024,true,86024,86024,86024,86024,true,86024,86024,86024,86024
true,99805,99805,99805,99805,true,83935,83935,86115,86115,true,83935,83935,83935,83935,true,83935,83935,83935,83935,true,83935,83935,83935,83935
true,512274,512274,512274,512274,true,359238,359238,359238,359238,true,359238,359238,359238,359238,true,359238,359238,359238,359238,true,359238,359238,359238,359238
true,220008,220008,220008,220008,true,181592,181592,181592,181592,true,181592,181592,181592,181592,true,181592,181592,181592,181592,true,181592,181592,181592,181592
true,274923,274923,274923,274923,true,167554,167554,208989,208989,true,133639,150114,167398,167398,true,129767,129767,129767,129767,true,129767,129767,129767,129767
true,337752,337752,337752,337752,true,207696,207696,228771,228771,true,190075,190075,190075,190075,true,190075,190075,190075,190075,true,190075,190075,190075,190075
true,796950,796950,796950,796950,true,444930,444930,444930,444930,true,398760,398760,398760,398760,true,398760,398760,398760,398760,true,398760,398760,398760,398760
true,208334,208334,208334,208334,true,123704,133763,137529,137529,true,108836,108836,108836,108836,true,90396,90396,90396,90396,true,90396,90396,90396,90396
true,208686,208686,208686,208686,true,109332,109332,109332,109332,true,109332,109332,109332,109332,true,109332,109332,109332,109332,true,109332,109332,109332,109332
true,328620,328620,328620,328620,true,300774,300774,309000,309000,true,300774,300774,300774,300774,true,300774,300774,300774,300774,true,300774,300774,300774,300774
true,222230,222230,222230,222230,true,129885,134230,147108,147108,true,107520,107520,114188,114188,true,107520,107520,107520,107520,true,107520,107520,107520,107520
true,412440,412440,412440,412440,true,242196,242196,242196,242196,true,242196,242196,242196,242196,true,242196,242196,242196,242196,true,242196,242196,242196,242196
true,463981,463981,463981,463981,true,313083,329834,329834,329834,true,214158,214158,214158,214158,true,214158,214158,214158,214158,true,214158,214158,214158,214158
true,230650,230650,230650,230650,true,212277,212277,220614,220614,true,212277,212277,212277,212277,true,212277,212277,212277,212277,true,212277,212277,212277,212277
true,295176,295176,295176,295176,true,225888,225888,225888,225888,true,225888,225888,225888,225888,true,225888,225888,225888,225888,true,225888,225888,225888,225888
true,135055,135055,135055,135055,true,75990,75990,75990,75990,true,69100,69100,69100,69100,true,69100,69100,69100,69100,true,69100,69100,69100,69100
true,237234,237234,237234,237234,true,175116,175116,184950,184950,true,175116,175116,175116,175116,true,175116,175116,175116,175116,true,175116,175116,175116,175116
true,296932,296932,296932,296932,true,163267,163267,163267,163267,true,162089,162089,162089,162089,true,162089,162089,162089,162089,true,162089,162089,162089,162089
true,417312,417312,417312,417312,true,281799,281799,310880,310880,true,239968,245948,246442,246442,true,212508,212508,241856,241856,true,212508,212508,212508,212508
true,118450,118450,118450,118450,true,61115,61115,61115,61115,true,61115,61115,61115,61115,true,61115,61115,61115,61115,true,61115,61115,61115,61115
true,288453,288453,288453,288453,true,191800,202184,210012,210012,true,143730,143730,143730,143730,true,143730,143730,143730,143730,true,143730,143730,143730,143730
true,191340,191340,191340,191340,true,175608,175608,176352,176352,true,175608,175608,175608,175608,true,175608,175608,175608,175608,true,175608,175608,175608,175608
true,573318,573318,573318,573318,true,322040,322040,322040,322040,true,254978,259416,302522,302522,true,213116,213116,213116,213116,true,213116,213116,213116,213116
true,224190,224190,224190,224190,true,170667,170667,173457,173457,true,170667,170667,170667,170667,true,170667,170667,170667,170667,true,170667,170667,170667,170667
true,509711,509711,509711,509711,true,311049,311049,311049,311049,true,311049,311049,311049,311049,true,311049,311049,311049,311049,true,311049,311049,311049,311049
true,246704,246704,246704,246704,true,234252,234252,234252,234252,true,227532,227532,227532,227532,true,227532,227532,227532,227532,true,227532,227532,227532,227532
true,216888,216888,216888,216888,true,127792,127792,152362,152362,true,110565,110565,110565,110565,true,110565,110565,110565,110565,true,110565,110565,110565,110565
true,468432,468432,468432,468432,true,262001,268640,295712,295712,true,239424,239424,272544,272544,true,239424,239424,239424,239424,true,239424,239424,239424,239424
true,300400,300400,300400,300400,true,234710,234710,234710,234710,true,234710,234710,234710,234710,true,234710,234710,234710,234710,true,234710,234710,234710,234710
true,661756,661756,661756,661756,true,480804,482031,495719,495719,true,358521,358521,401951,401951,true,355212,355212,355212,355212,true,355212,355212,355212,355212
true,287322,287322,287322,287322,true,156044,156044,175320,175320,true,135525,135525,146504,146504,true,135525,135525,135525,135525,true,135525,135525,135525,135525
true,406172,406172,406172,406172,true,233662,233662,234390,234390,true,209970,209970,209970,209970,true,209970,209970,209970,209970,true,209970,209970,209970,209970
true,194328,194328,194328,194328,true,130768,130768,130768,130768,true,115843,115843,115843,115843,true,115843,115843,115843,115843,true,115843,115843,115843,115843
