BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4
true,72495,72495,72495,72495,true,72495,72495,72495,72495,true,72495,72495,72495,72495,true,72495,72495,72495,72495
true,142008,142008,142008,142008,true,94039,94039,94039,94039,true,94039,94039,94039,94039,true,94039,94039,94039,94039
true,356820,356820,356820,356820,true,245055,245055,245055,245055,true,245055,245055,245055,245055,true,245055,245055,245055,245055
true,417140,417140,417140,417140,true,285960,286180,286180,286180,true,204566,204566,204566,204566,true,204566,204566,204566,204566
true,113316,113316,113316,113316,true,88231,88231,88231,88231,true,88231,88231,88231,88231,true,88231,88231,88231,88231
true,120414,120414,120414,120414,true,69685,69685,69685,69685,true,69685,69685,69685,69685,true,69685,69685,69685,69685
true,265931,265931,265931,265931,true,157777,157777,162724,162724,true,131971,131971,131971,131971,true,131971,131971,131971,131971
true,243595,243595,243595,243595,true,138780,138780,175754,175754,true,129209,129209,136502,136502,true,129209,129209,129209,129209
true,269520,269520,269520,269520,true,257948,257948,257948,257948,true,257948,257948,257948,257948,true,257948,257948,257948,257948
true,111832,111832,111832,111832,true,94226,94226,94226,94226,true,94226,94226,94226,94226,true,94226,94226,94226,94226
true,121408,121408,121408,121408,true,78330,78330,85456,85456,true,75519,75519,78330,78330,true,75519,75519,75519,75519
true,287280,287280,287280,287280,true,258760,258760,258760,258760,true,258760,258760,258760,258760,true,258760,258760,258760,258760
true,552720,552720,552720,552720,true,374240,374240,404960,404960,true,298181,298181,302288,302288,true,266000,266000,266000,266000
true,66969,66969,66969,66969,true,40278,40278,46728,46728,true,38927,38927,38927,38927,true,38927,38927,38927,38927
true,168192,168192,168192,168192,true,110637,110637,110637,110637,true,110637,110637,110637,110637,true,110637,110637,110637,110637
true,204302,204302,204302,204302,true,138250,138250,138250,138250,true,138250,138250,138250,138250,true,138250,138250,138250,138250
true,337038,337038,337038,337038,true,224289,224289,225927,225927,true,224289,224289,224289,224289,true,224289,224289,224289,224289
true,585240,585240,585240,585240,true,352140,352140,352140,352140,true,295032,295032,307176,307176,true,278512,278512,278512,278512
true,263680,263680,263680,263680,true,173210,173210,173210,173210,true,137606,137606,145100,145100,true,137606,137606,137606,137606
true,506070,506070,506070,506070,true,314946,325598,366912,366912,true,273800,273800,279108,279108,true,270200,270200,270200,270200
true,144636,144636,144636,144636,true,80802,80802,80802,80802,true,80802,80802,80802,80802,true,80802,80802,80802,80802
true,408421,408421,408421,408421,true,310362,310362,310362,310362,true,305085,305085,305085,305085,true,305085,305085,305085,305085
true,345870,345870,345870,345870,true,278334,278334,278334,278334,true,278334,278334,278334,278334,true,278334,278334,278334,278334
true,139482,139482,139482,139482,true,111104,111104,111104,111104,true,111104,111104,111104,111104,true,111104,111104,111104,111104
true,177072,177072,177072,177072,true,119408,119408,119408,119408,true,119408,119408,119408,119408,true,119408,119408,119408,119408
true,146610,146610,146610,146610,true,89508,89508,89508,89508,true,89508,89508,89508,89508,true,89508,89508,89508,89508
true,450823,450823,450823,450823,true,280324,280324,280324,280324,true,272113,272113,272113,272113,true,272113,272113,272113,272113
true,276990,276990,276990,276990,true,174748,174748,196756,196756,true,164602,166586,174748,174748,true,160758,160758,160758,160758
