BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6,BnB_BnB/7/finished,BnB_BnB/7,BnB_List/7,DP/7,DP_BnB/7,BnB_BnB/8/finished,BnB_BnB/8,BnB_List/8,DP/8,DP_BnB/8
true,471424,471424,471424,471424,true,337062,337062,374550,374550,true,310608,312176,337062,337062,true,310608,310608,322512,322512,true,310608,310608,310608,310608,true,310608,310608,310608,310608,true,310608,310608,310608,310608,true,310608,310608,310608,310608
true,746070,746070,746070,746070,true,455424,468723,503607,503607,true,389709,389709,412243,412243,true,389709,389709,389709,389709,true,389709,389709,389709,389709,true,389709,389709,389709,389709,true,389709,389709,389709,389709,true,389709,389709,389709,389709
true,271785,271785,271785,271785,true,150715,150715,187635,187635,false,117765,117765,125738,125738,true,117765,117765,117765,117765,true,117765,117765,117765,117765,true,117765,117765,117765,117765,true,117765,117765,117765,117765,true,117765,117765,117765,117765
true,278730,278730,278730,278730,true,167820,167820,167820,167820,true,146461,146461,146461,146461,true,140928,140928,140928,140928,true,140928,140928,140928,140928,true,140928,140928,140928,140928,true,140928,140928,140928,140928,true,140928,140928,140928,140928
true,315350,315350,315350,315350,true,216734,216734,263116,263116,false,178780,178780,216734,216734,true,178780,178780,178780,178780,true,178780,178780,178780,178780,true,178780,178780,178780,178780,true,178780,178780,178780,178780,true,178780,178780,178780,178780
true,204245,204245,204245,204245,true,129033,129033,151545,151545,false,99286,99286,102110,102110,false,91674,86521,94338,94338,true,81770,81770,82330,82330,true,81770,81770,81770,81770,true,81770,81770,81770,81770,true,81770,81770,81770,81770
true,314940,314940,314940,314940,true,189891,193103,235986,235986,false,145030,145030,185622,185622,false,136155,137481,154820,154820,false,120753,120753,128790,128790,false,109974,109974,115321,115321,true,103562,103562,103562,103562,true,103562,103562,103562,103562
true,392441,392441,392441,392441,true,257061,259406,259406,259406,true,232435,232435,232435,232435,true,232435,232435,232435,232435,true,232435,232435,232435,232435,true,232435,232435,232435,232435,true,232435,232435,232435,232435,true,232435,232435,232435,232435
true,660688,660688,660688,660688,true,366544,386794,404754,404754,true,314748,324618,324618,324618,true,282772,282772,282772,282772,true,282772,282772,282772,282772,true,282772,282772,282772,282772,true,282772,282772,282772,282772,true,282772,282772,282772,282772
true,308679,308679,308679,308679,true,174398,180173,187002,187002,false,128231,132164,155196,155196,true,105291,105291,133203,133203,true,105291,105291,105291,105291,true,105291,105291,105291,105291,true,105291,105291,105291,105291,true,105291,105291,105291,105291
