BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1
true,63136,63136,63136,63136
true,330817,330817,330817,330817
true,152874,152874,152874,152874
true,89012,89012,89012,89012
true,97936,97936,97936,97936
true,8000,8000,8000,8000
true,72637,72637,72637,72637
true,99650,99650,99650,99650
true,76086,76086,76086,76086
true,135432,135432,135432,135432
true,68364,68364,68364,68364
true,49008,49008,49008,49008
true,98895,98895,98895,98895
true,49020,49020,49020,49020
true,76620,76620,76620,76620
true,151147,151147,151147,151147
true,172434,172434,172434,172434
true,25840,25840,25840,25840
true,70820,70820,70820,70820
true,88680,88680,88680,88680
true,137149,137149,137149,137149
true,49056,49056,49056,49056
true,72828,72828,72828,72828
true,24528,24528,24528,24528
true,85370,85370,85370,85370
true,171648,171648,171648,171648
true,263835,263835,263835,263835
true,76650,76650,76650,76650
true,299846,299846,299846,299846
true,64688,64688,64688,64688
true,126009,126009,126009,126009
true,39620,39620,39620,39620
true,9093,9093,9093,9093
true,68130,68130,68130,68130
true,57790,57790,57790,57790
true,241465,241465,241465,241465
true,119536,119536,119536,119536
true,246384,246384,246384,246384
true,173355,173355,173355,173355
true,32460,32460,32460,32460
true,322830,322830,322830,322830
true,117711,117711,117711,117711
true,111672,111672,111672,111672
true,56944,56944,56944,56944
true,53652,53652,53652,53652
true,170920,170920,170920,170920
true,145047,145047,145047,145047
true,36288,36288,36288,36288
true,381948,381948,381948,381948
true,24264,24264,24264,24264
true,109176,109176,109176,109176
true,88392,88392,88392,88392
true,63413,63413,63413,63413
true,183446,183446,183446,183446
true,73374,73374,73374,73374
true,32350,32350,32350,32350
true,152037,152037,152037,152037
true,38110,38110,38110,38110
true,182574,182574,182574,182574
true,35206,35206,35206,35206
true,29293,29293,29293,29293
true,49625,49625,49625,49625
true,99981,99981,99981,99981
true,41678,41678,41678,41678
true,170411,170411,170411,170411
true,51142,51142,51142,51142
true,319362,319362,319362,319362
true,41129,41129,41129,41129
true,201584,201584,201584,201584
true,50360,50360,50360,50360
true,104780,104780,104780,104780
true,170724,170724,170724,170724
true,58310,58310,58310,58310
true,28574,28574,28574,28574
true,10410,10410,10410,10410
true,106229,106229,106229,106229
true,68198,68198,68198,68198
true,36945,36945,36945,36945
true,67240,67240,67240,67240
true,78464,78464,78464,78464
true,231693,231693,231693,231693
true,367122,367122,367122,367122
true,42020,42020,42020,42020
true,41515,41515,41515,41515
true,16890,16890,16890,16890
true,47688,47688,47688,47688
true,275264,275264,275264,275264
true,12980,12980,12980,12980
true,173634,173634,173634,173634
true,38510,38510,38510,38510
true,15000,15000,15000,15000
true,176154,176154,176154,176154
true,98202,98202,98202,98202
true,97643,97643,97643,97643
true,254228,254228,254228,254228
true,81765,81765,81765,81765
true,144870,144870,144870,144870
true,96740,96740,96740,96740
true,76070,76070,76070,76070
true,30800,30800,30800,30800
true,43808,43808,43808,43808
true,192680,192680,192680,192680
true,115526,115526,115526,115526
true,172454,172454,172454,172454
true,164749,164749,164749,164749
true,263233,263233,263233,263233
true,126432,126432,126432,126432
true,71896,71896,71896,71896
true,37881,37881,37881,37881
true,35629,35629,35629,35629
true,162750,162750,162750,162750
true,81360,81360,81360,81360
true,138740,138740,138740,138740
true,131958,131958,131958,131958
true,25088,25088,25088,25088
true,281894,281894,281894,281894
true,52465,52465,52465,52465
true,288512,288512,288512,288512
true,267729,267729,267729,267729
true,32490,32490,32490,32490
true,177912,177912,177912,177912
true,66504,66504,66504,66504
true,53100,53100,53100,53100
true,38360,38360,38360,38360
true,130802,130802,130802,130802
true,39474,39474,39474,39474
true,213456,213456,213456,213456
true,49653,49653,49653,49653
true,184041,184041,184041,184041
true,71500,71500,71500,71500
true,88746,88746,88746,88746
true,62426,62426,62426,62426
true,61160,61160,61160,61160
true,96117,96117,96117,96117
true,87329,87329,87329,87329
true,197868,197868,197868,197868
true,189280,189280,189280,189280
true,18165,18165,18165,18165
true,126850,126850,126850,126850
true,32164,32164,32164,32164
true,129954,129954,129954,129954
true,125342,125342,125342,125342
true,47271,47271,47271,47271
true,28140,28140,28140,28140
true,240840,240840,240840,240840
true,141408,141408,141408,141408
true,97660,97660,97660,97660
true,53506,53506,53506,53506
true,249508,249508,249508,249508
true,60576,60576,60576,60576
true,109466,109466,109466,109466
true,33735,33735,33735,33735
true,120125,120125,120125,120125
true,89264,89264,89264,89264
true,124288,124288,124288,124288
true,47760,47760,47760,47760
true,174930,174930,174930,174930
true,85800,85800,85800,85800
true,191023,191023,191023,191023
true,73278,73278,73278,73278
true,20736,20736,20736,20736
true,88680,88680,88680,88680
true,319828,319828,319828,319828
true,14916,14916,14916,14916
true,38840,38840,38840,38840
true,65364,65364,65364,65364
true,34704,34704,34704,34704
true,121414,121414,121414,121414
true,18340,18340,18340,18340
true,68300,68300,68300,68300
true,232686,232686,232686,232686
true,100800,100800,100800,100800
true,44184,44184,44184,44184
true,64194,64194,64194,64194
true,60174,60174,60174,60174
true,178622,178622,178622,178622
true,47817,47817,47817,47817
true,203522,203522,203522,203522
true,317248,317248,317248,317248
true,13195,13195,13195,13195
true,166320,166320,166320,166320
true,15245,15245,15245,15245
true,59477,59477,59477,59477
true,51090,51090,51090,51090
true,42855,42855,42855,42855
true,392490,392490,392490,392490
true,12352,12352,12352,12352
true,165220,165220,165220,165220
true,21141,21141,21141,21141
