BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6
true,332392,332392,332392,332392,true,200112,200112,208048,208048,true,168238,168238,176174,176174,true,168238,168238,168238,168238,true,168238,168238,168238,168238,true,168238,168238,168238,168238
true,285835,285835,285835,285835,true,194021,194021,229889,229889,true,173154,173154,194021,194021,true,173154,173154,173154,173154,true,173154,173154,173154,173154,true,173154,173154,173154,173154
true,102010,102010,102010,102010,true,92290,92290,92290,92290,true,92290,92290,92290,92290,true,92290,92290,92290,92290,true,92290,92290,92290,92290,true,92290,92290,92290,92290
true,609045,609045,609045,609045,true,338820,338820,338820,338820,true,290925,290925,290925,290925,true,269706,269706,269706,269706,true,269706,269706,269706,269706,true,269706,269706,269706,269706
true,150265,150265,150265,150265,true,117013,117013,126535,126535,true,113155,113155,114780,114780,true,113155,113155,113155,113155,true,113155,113155,113155,113155,true,113155,113155,113155,113155
true,269990,269990,269990,269990,true,189330,189330,204080,204080,true,158220,158220,158220,158220,true,158220,158220,158220,158220,true,158220,158220,158220,158220,true,158220,158220,158220,158220
true,317856,317856,317856,317856,true,187860,192612,205040,205040,true,146704,146704,146704,146704,true,146704,146704,146704,146704,true,146704,146704,146704,146704,true,146704,146704,146704,146704
true,172410,172410,172410,172410,true,107000,107000,107000,107000,true,98430,98430,98430,98430,true,98430,98430,98430,98430,true,98430,98430,98430,98430,true,98430,98430,98430,98430
true,274664,274664,274664,274664,true,179456,179456,194216,194216,true,147600,147600,147600,147600,true,122100,122100,123424,123424,true,116172,116172,116172,116172,true,116172,116172,116172,116172
true,254615,254615,254615,254615,true,185820,185820,208380,208380,true,168431,168431,170690,170690,true,168431,168431,168431,168431,true,168431,168431,168431,168431,true,168431,168431,168431,168431
true,444048,444048,444048,444048,true,295488,295488,353544,353544,true,258658,258658,307260,307260,true,254194,254194,267262,267262,true,254194,254194,254194,254194,true,254194,254194,254194,254194
true,480467,480467,480467,480467,true,408577,408577,442754,442754,true,402285,402285,422643,422643,true,402285,402285,402285,402285,true,402285,402285,402285,402285,true,402285,402285,402285,402285
true,227465,227465,227465,227465,true,173045,173045,173045,173045,true,173045,173045,173045,173045,true,173045,173045,173045,173045,true,173045,173045,173045,173045,true,173045,173045,173045,173045
true,334296,334296,334296,334296,true,253179,253179,253179,253179,true,213786,213786,213786,213786,true,209937,209937,209937,209937,true,209937,209937,209937,209937,true,209937,209937,209937,209937
true,159915,159915,159915,159915,true,126700,126700,126700,126700,true,113680,113680,113680,113680,true,112960,112960,112960,112960,true,112960,112960,112960,112960,true,112960,112960,112960,112960
true,215934,215934,215934,215934,true,110592,118398,137268,137268,true,94902,94902,94902,94902,true,94902,94902,94902,94902,true,94902,94902,94902,94902,true,94902,94902,94902,94902
true,154746,154746,154746,154746,true,101214,105536,115964,115964,true,89492,89492,89492,89492,true,89492,89492,89492,89492,true,89492,89492,89492,89492,true,89492,89492,89492,89492
true,459407,459407,459407,459407,true,280648,294508,301911,301911,true,235195,235195,235195,235195,true,235195,235195,235195,235195,true,235195,235195,235195,235195,true,235195,235195,235195,235195
true,188600,188600,188600,188600,true,102520,106595,110320,110320,true,79390,79390,79390,79390,true,60942,61824,61824,61824,true,60942,60942,60942,60942,true,60942,60942,60942,60942
true,329504,329504,329504,329504,true,224256,224256,272804,272804,true,221892,221892,221892,221892,true,221892,221892,221892,221892,true,221892,221892,221892,221892,true,221892,221892,221892,221892
true,252522,252522,252522,252522,true,134280,134280,157392,157392,true,105282,105282,105282,105282,true,105282,105282,105282,105282,true,105282,105282,105282,105282,true,105282,105282,105282,105282
true,848463,848463,848463,848463,true,532749,532749,637876,637876,true,415917,429078,493323,493323,true,360561,360561,360561,360561,true,360561,360561,360561,360561,true,360561,360561,360561,360561
true,126600,126600,126600,126600,true,68420,68420,68420,68420,true,63035,63035,63035,63035,true,63035,63035,63035,63035,true,63035,63035,63035,63035,true,63035,63035,63035,63035
true,269451,269451,269451,269451,true,173124,173124,192122,192122,true,133358,133358,152593,152593,true,112771,118160,123284,123284,true,109500,109500,109500,109500,true,109500,109500,109500,109500
true,278020,278020,278020,278020,true,161810,161810,161810,161810,true,120800,120800,120800,120800,true,108420,108420,109582,109582,true,108420,108420,108420,108420,true,108420,108420,108420,108420
true,158535,158535,158535,158535,true,116065,116065,134910,134910,true,116065,116065,116065,116065,true,116065,116065,116065,116065,true,116065,116065,116065,116065,true,116065,116065,116065,116065
true,305170,305170,305170,305170,true,209660,209660,246110,246110,true,209660,209660,209660,209660,true,209660,209660,209660,209660,true,209660,209660,209660,209660,true,209660,209660,209660,209660
true,605668,605668,605668,605668,true,386554,386554,469056,469056,true,346283,346283,362796,362796,true,346283,346283,346283,346283,true,346283,346283,346283,346283,true,346283,346283,346283,346283
true,297960,297960,297960,297960,true,167599,173799,181384,181384,true,118791,118791,118791,118791,true,112806,112806,112806,112806,true,112806,112806,112806,112806,true,112806,112806,112806,112806
true,630198,630198,630198,630198,true,425156,427627,444268,444268,true,383868,383868,383868,383868,true,383868,383868,383868,383868,true,383868,383868,383868,383868,true,383868,383868,383868,383868
true,218958,218958,218958,218958,true,137082,142104,148914,148914,true,125208,125208,125208,125208,true,125208,125208,125208,125208,true,125208,125208,125208,125208,true,125208,125208,125208,125208
true,184910,184910,184910,184910,true,119505,119505,119505,119505,true,105390,105390,105390,105390,true,105390,105390,105390,105390,true,105390,105390,105390,105390,true,105390,105390,105390,105390
true,355689,355689,355689,355689,true,182961,182961,182961,182961,true,182961,182961,182961,182961,true,182961,182961,182961,182961,true,182961,182961,182961,182961,true,182961,182961,182961,182961
true,802629,802629,802629,802629,true,519480,519480,519480,519480,true,469271,469271,479788,479788,true,446522,446522,446522,446522,true,446522,446522,446522,446522,true,446522,446522,446522,446522
true,502866,502866,502866,502866,true,428890,428890,432922,432922,true,373590,373590,373590,373590,true,332937,332937,332937,332937,true,332937,332937,332937,332937,true,332937,332937,332937,332937
true,260487,260487,260487,260487,true,170388,170388,170388,170388,true,170388,170388,170388,170388,true,170388,170388,170388,170388,true,170388,170388,170388,170388,true,170388,170388,170388,170388
true,1108270,1108270,1108270,1108270,true,782564,782564,837764,837764,true,632516,632516,674511,674511,true,598924,598924,615725,615725,true,598924,598924,598924,598924,true,598924,598924,598924,598924
true,584206,584206,584206,584206,true,338112,338112,378405,378405,true,244662,244662,281219,281219,true,211994,211994,243930,243930,true,179207,179207,180195,180195,true,177915,177915,177915,177915
true,611904,611904,611904,611904,true,476352,476352,476352,476352,true,378000,378000,378000,378000,true,351368,351368,359152,359152,true,301500,301500,301500,301500,true,301500,301500,301500,301500
true,408239,408239,408239,408239,true,307939,307939,330318,330318,true,248469,248469,281047,281047,true,211250,211250,238922,238922,true,211250,211250,211250,211250,true,211250,211250,211250,211250
true,566601,566601,566601,566601,true,331107,331107,339066,339066,true,255579,269304,269304,269304,true,227306,246805,250068,250068,true,224364,224364,224364,224364,true,224364,224364,224364,224364
true,251200,251200,251200,251200,true,143820,143820,143820,143820,true,125510,125510,125510,125510,true,125510,125510,125510,125510,true,125510,125510,125510,125510,true,125510,125510,125510,125510
true,171510,171510,171510,171510,true,130452,130452,130452,130452,true,113418,113418,113418,113418,true,108812,108812,108812,108812,true,108812,108812,108812,108812,true,108812,108812,108812,108812
true,328750,328750,328750,328750,true,224700,224700,254780,254780,true,221774,221774,224700,224700,true,221774,221774,221774,221774,true,221774,221774,221774,221774,true,221774,221774,221774,221774
true,353144,353144,353144,353144,true,210199,210199,249931,249931,true,185799,186472,200475,200475,true,155496,155496,155496,155496,true,155496,155496,155496,155496,true,155496,155496,155496,155496
true,257455,257455,257455,257455,true,141980,141980,171600,171600,true,104825,113204,129234,129234,true,96105,96105,96105,96105,true,96105,96105,96105,96105,true,96105,96105,96105,96105
true,842858,842858,842858,842858,true,461254,461254,467314,467314,true,390474,390474,401764,401764,true,386580,386580,386580,386580,true,386580,386580,386580,386580,true,386580,386580,386580,386580
true,286173,286173,286173,286173,true,185625,185625,185625,185625,true,167850,167850,185382,185382,true,144612,144612,144612,144612,true,144612,144612,144612,144612,true,144612,144612,144612,144612
true,544950,544950,544950,544950,true,342306,342306,342306,342306,true,303633,331551,341046,341046,true,252054,252054,252054,252054,true,252054,252054,252054,252054,true,252054,252054,252054,252054
