BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6,BnB_BnB/7/finished,BnB_BnB/7,BnB_List/7,DP/7,DP_BnB/7
true,496236,496236,496236,496236,true,338949,338949,372918,372918,true,328250,328250,328250,328250,true,328250,328250,328250,328250,true,328250,328250,328250,328250,true,328250,328250,328250,328250,true,328250,328250,328250,328250
true,216622,216622,216622,216622,true,166761,166761,190295,190295,true,166586,166586,166761,166761,true,166586,166586,166586,166586,true,166586,166586,166586,166586,true,166586,166586,166586,166586,true,166586,166586,166586,166586
true,312900,312900,312900,312900,true,250278,250278,250278,250278,true,219793,219793,219793,219793,true,210414,210414,210414,210414,true,210414,210414,210414,210414,true,210414,210414,210414,210414,true,210414,210414,210414,210414
true,499447,499447,499447,499447,true,287547,287547,287547,287547,true,262475,262475,262475,262475,true,262475,262475,262475,262475,true,262475,262475,262475,262475,true,262475,262475,262475,262475,true,262475,262475,262475,262475
true,405399,405399,405399,405399,true,265518,265518,265518,265518,true,229927,229927,246835,246835,true,229927,229927,229927,229927,true,229927,229927,229927,229927,true,229927,229927,229927,229927,true,229927,229927,229927,229927
true,180380,180380,180380,180380,true,111410,111410,111935,111935,true,91615,91615,91615,91615,true,91615,91615,91615,91615,true,91615,91615,91615,91615,true,91615,91615,91615,91615,true,91615,91615,91615,91615
true,528656,528656,528656,528656,true,302784,302784,353380,353380,true,265640,265640,302784,302784,true,265640,265640,277664,277664,true,265640,265640,265640,265640,true,265640,265640,265640,265640,true,265640,265640,265640,265640
true,324720,324720,324720,324720,true,248544,248544,280680,280680,true,239542,239542,248544,248544,true,239542,239542,239542,239542,true,239542,239542,239542,239542,true,239542,239542,239542,239542,true,239542,239542,239542,239542
true,233527,233527,233527,233527,true,189490,189490,206500,206500,true,183456,183456,192969,192969,true,183456,183456,183456,183456,true,183456,183456,183456,183456,true,183456,183456,183456,183456,true,183456,183456,183456,183456
true,301176,301176,301176,301176,true,167672,167672,191048,191048,true,160951,160951,167672,167672,true,160951,160951,160951,160951,true,160951,160951,160951,160951,true,160951,160951,160951,160951,true,160951,160951,160951,160951
true,313481,313481,313481,313481,true,184968,184968,222446,222446,true,184968,184968,184968,184968,true,184968,184968,184968,184968,true,184968,184968,184968,184968,true,184968,184968,184968,184968,true,184968,184968,184968,184968
true,455741,455741,455741,455741,true,299519,299519,299519,299519,true,238199,242409,250295,250295,true,218871,218871,226435,226435,false,199779,199779,199779,199779,true,182336,182336,182336,182336,true,182336,182336,182336,182336
true,193505,193505,193505,193505,true,98995,103757,117980,117980,true,73695,73695,78800,78800,true,73695,73695,73695,73695,true,73695,73695,73695,73695,true,73695,73695,73695,73695,true,73695,73695,73695,73695
true,236747,236747,236747,236747,true,183148,183148,200473,200473,true,183148,183148,183148,183148,true,183148,183148,183148,183148,true,183148,183148,183148,183148,true,183148,183148,183148,183148,true,183148,183148,183148,183148
true,749430,749430,749430,749430,true,411975,411975,411975,411975,true,411975,411975,411975,411975,true,411975,411975,411975,411975,true,411975,411975,411975,411975,true,411975,411975,411975,411975,true,411975,411975,411975,411975
true,436041,436041,436041,436041,true,245495,245495,281604,281604,true,204743,204743,231751,231751,true,193728,193728,193728,193728,true,193728,193728,193728,193728,true,193728,193728,193728,193728,true,193728,193728,193728,193728
true,433334,433334,433334,433334,true,327756,327756,327756,327756,true,264596,264596,284047,284047,false,245203,245203,246246,246246,true,235952,239956,239956,239956,true,235952,235952,235952,235952,true,235952,235952,235952,235952
true,263862,263862,263862,263862,true,188544,188544,214218,214218,true,155556,155556,181230,181230,true,155556,155556,155556,155556,true,155556,155556,155556,155556,true,155556,155556,155556,155556,true,155556,155556,155556,155556
true,167265,167265,167265,167265,true,114585,114585,136750,136750,true,104370,104370,108425,108425,true,101612,101612,104370,104370,true,101612,101612,101612,101612,true,101612,101612,101612,101612,true,101612,101612,101612,101612
true,275136,275136,275136,275136,true,217920,217920,219444,219444,true,217920,217920,218166,218166,true,217920,217920,217920,217920,true,217920,217920,217920,217920,true,217920,217920,217920,217920,true,217920,217920,217920,217920
true,294930,294930,294930,294930,true,185382,185382,214884,214884,true,178497,178497,185382,185382,true,178497,178497,178497,178497,true,178497,178497,178497,178497,true,178497,178497,178497,178497,true,178497,178497,178497,178497
true,282376,282376,282376,282376,true,183976,183976,228992,228992,true,148689,149862,183976,183976,true,138584,138584,138584,138584,true,138584,138584,138584,138584,true,138584,138584,138584,138584,true,138584,138584,138584,138584
true,301238,301238,301238,301238,true,173412,184596,184737,184737,true,136604,136745,136745,136745,true,136604,136604,136604,136604,true,136604,136604,136604,136604,true,136604,136604,136604,136604,true,136604,136604,136604,136604
true,396210,396210,396210,396210,true,213260,221557,234580,234580,true,180810,180810,180810,180810,true,180810,180810,180810,180810,true,180810,180810,180810,180810,true,180810,180810,180810,180810,true,180810,180810,180810,180810
true,265455,265455,265455,265455,true,135315,138879,145197,145197,false,106410,106410,111393,111393,false,106410,106410,106410,106410,true,106410,106410,106410,106410,true,106410,106410,106410,106410,true,106410,106410,106410,106410
true,334920,334920,334920,334920,true,170480,170480,173360,173360,true,143000,143000,143000,143000,false,119412,119412,127040,127040,true,119412,119412,119412,119412,true,119412,119412,119412,119412,true,119412,119412,119412,119412
true,255618,255618,255618,255618,true,147360,147360,147360,147360,true,147360,147360,147360,147360,true,147360,147360,147360,147360,true,147360,147360,147360,147360,true,147360,147360,147360,147360,true,147360,147360,147360,147360
true,473100,473100,473100,473100,true,294476,308616,329160,329160,true,232506,232506,253810,253810,true,232506,232506,232506,232506,true,232506,232506,232506,232506,true,232506,232506,232506,232506,true,232506,232506,232506,232506
true,494242,494242,494242,494242,true,344876,344876,373198,373198,true,311335,320936,341124,341124,true,309162,309162,320936,320936,true,309162,309162,309162,309162,true,309162,309162,309162,309162,true,309162,309162,309162,309162
true,333792,333792,333792,333792,true,213096,213096,213096,213096,true,158520,158520,158520,158520,true,156032,156032,156032,156032,true,156032,156032,156032,156032,true,156032,156032,156032,156032,true,156032,156032,156032,156032
